material_id,is_initial_label,n_sites,volume_per_atom_angstrom3,density_g_cm3,lattice_anisotropy,layer_component_count,band_gap_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom
mp-1018809,False,6.0,19.300987617706987,4.590481655252597,4.137092117247956,2.0,1.3361,False,-0.9637533052083332,0.002389239999999404
mp-1023924,True,3.0,50.73453071021885,1.7463614691422709,5.444069553205099,1.0,1.6605999999999999,True,-0.9517026318749989,0.01443991333333372
mp-1023939,False,6.0,31.72069462650397,2.7931554031389885,6.804916566873106,2.0,1.5539,True,-0.9589067502083329,0.007235794999999712
mp-1025874,False,9.0,27.692541828809393,3.1994473506641885,8.91557340990452,3.0,1.5093,True,-0.9617292007638886,0.004413344444444078
mp-1027525,True,12.0,25.221820730439205,3.512864139915666,10.829864789464658,4.0,1.4639999999999997,False,-0.9624610102083343,0.003681534999998348
mp-1434,True,3.0,18.973784189297305,4.669644637221036,1.0000000304877859,1.0,1.3839000000000006,False,-0.9661425452083326,0.0
mp-2815,False,6.0,19.67753127477034,4.502639500359555,4.190882614799372,2.0,1.4648999999999996,False,-0.964449816875001,0.0016927283333316723
