round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1,iterative,mp-1238797,1.425658,0.064863,0.0,1.425658,False,-0.6698387318749989,0.2963038133333349,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,high_confidence_model_anomaly,0.1.0,True,1,4
2,iterative,mp-1025874,1.091782,1.624776,1.5093,0.417518,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.1.0,False,2,4
3,iterative,mp-558544,0.854307,0.592675,0.0,0.854307,False,-0.6864253585416643,0.27971718666666945,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.1.0,False,3,4
4,iterative,mp-2815,0.666215,0.971704,1.4648999999999996,0.798685,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.1.0,False,4,4
