round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1,random,mp-1018809,1.471969,0.059299,1.3361,0.135869,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.1.0,False,1,3
2,random,mp-1025874,1.507448,0.071445,1.5093,0.001852,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.1.0,False,2,3
3,random,mp-1023939,1.559637,0.03839,1.5539,0.005737,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.1.0,False,3,3
