seed,round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1003,1,iterative,mp-1018809,1.478476,0.060481,1.3361,0.142376,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,1,3
1003,2,iterative,mp-1023939,1.447964,0.221744,1.5539,0.105936,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1003,3,iterative,mp-1025874,1.494197,0.040448,1.5093,0.015103,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1004,1,random,mp-2815,1.446851,0.039202,1.4648999999999996,0.018049,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,1,3
1004,2,random,mp-1023939,1.528152,0.183205,1.5539,0.025748,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1004,3,random,mp-1025874,1.485833,0.080078,1.5093,0.023467,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1004,1,static_topn,mp-1025874,1.547204,0.076418,1.5093,0.037904,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1004,2,static_topn,mp-1023939,1.545993,0.064737,1.5539,0.007907,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1004,3,static_topn,mp-2815,1.446851,0.039202,1.4648999999999996,0.018049,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1004,1,iterative,mp-1025874,1.547204,0.076418,1.5093,0.037904,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1004,2,iterative,mp-1018809,1.415574,0.045659,1.3361,0.079474,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,2,3
1004,3,iterative,mp-1023939,1.573606,0.065401,1.5539,0.019706,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1005,1,random,mp-1025874,1.574031,0.072432,1.5093,0.064731,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1005,2,random,mp-1018809,1.434718,0.054577,1.3361,0.098618,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.2.0,False,2,3
1005,3,random,mp-1023939,1.584556,0.0875,1.5539,0.030656,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.2.0,False,3,3
1005,1,static_topn,mp-1025874,1.574031,0.072432,1.5093,0.064731,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,1,3
1005,2,static_topn,mp-1023939,1.581918,0.055336,1.5539,0.028018,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
1005,3,static_topn,mp-2815,1.490038,0.091283,1.4648999999999996,0.025138,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.2.0,False,3,3
1005,1,iterative,mp-1018809,1.486526,0.093097,1.3361,0.150426,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D0,technical_event_only,0.2.0,False,1,3
1005,2,iterative,mp-1023939,1.558116,0.105647,1.5539,0.004216,True,-0.9589067502083329,0.007235794999999712,False,confirmed_2d,target score plus bootstrap uncertainty; retrained after feedback,D2,target_hit|audited_candidate_signal,0.2.0,False,2,3
