round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1,static_topn,mp-1025874,1.506415,0.022215,1.5093,0.002885,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,highest target score from frozen initial model,D2,target_hit|audited_candidate_signal,0.1.0,False,1,4
2,static_topn,mp-2815,1.428588,0.047347,1.4648999999999996,0.036312,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.1.0,False,2,4
3,static_topn,mp-1238797,1.425658,0.064863,0.0,1.425658,False,-0.6698387318749989,0.2963038133333349,False,confirmed_2d,highest target score from frozen initial model,D0,high_confidence_model_anomaly,0.1.0,True,3,4
4,static_topn,mp-1018809,1.423927,0.048546,1.3361,0.087827,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,highest target score from frozen initial model,D0,technical_event_only,0.1.0,False,4,4
