round,policy,material_id,predicted_band_gap_ev,uncertainty_ev,true_band_gap_ev,absolute_error_ev,target_hit,formation_energy_ev_atom,energy_above_hull_ev_atom,is_stable_mp_flag,dimensionality_status,selection_reason,signal_level,signal_types,signal_rule_version,manual_review_required,budget_used,budget_total
1,random,mp-1018809,1.423927,0.048546,1.3361,0.087827,False,-0.9637533052083332,0.002389239999999404,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.1.0,False,1,4
2,random,mp-2815,1.36645,0.019533,1.4648999999999996,0.09845,False,-0.964449816875001,0.0016927283333316723,False,confirmed_2d,uniform random from signed stable pool,D0,technical_event_only,0.1.0,False,2,4
3,random,mp-558544,1.410905,0.058776,0.0,1.410905,False,-0.6864253585416643,0.27971718666666945,False,confirmed_2d,uniform random from signed stable pool,D0,high_confidence_model_anomaly,0.1.0,True,3,4
4,random,mp-1025874,1.336376,0.800195,1.5093,0.172924,True,-0.9617292007638886,0.004413344444444078,False,confirmed_2d,uniform random from signed stable pool,D2,target_hit|audited_candidate_signal,0.1.0,False,4,4
